caldt,mkt,ewmkt
1984-04-30,0.002538,-0.020521
1984-05-31,-0.05232,-0.051536
1984-06-29,0.023384,0.011996
1984-07-31,-0.020623,-0.050303
1984-08-31,0.112691,0.088817
1984-09-28,0.000403,-0.000377
1984-10-31,-7.3e-05,-0.023756
1984-11-30,-0.010685,-0.031506
1984-12-31,0.023653,0.002732
1985-01-31,0.085719,0.121475
1985-02-28,0.016898,0.046034
1985-03-29,-0.001747,-0.003581
1985-04-30,-0.002187,-0.009652
1985-05-31,0.055774,0.022222
1985-06-28,0.017091,0.002103
1985-07-31,-0.000251,0.021382
1985-08-30,-0.004794,-0.002214
1985-09-30,-0.039826,-0.056859
1985-10-31,0.044441,0.017652
1985-11-29,0.069228,0.052563
1985-12-31,0.043062,0.028021
1986-01-31,0.00983,0.044071
1986-02-28,0.072501,0.060381
1986-03-31,0.053887,0.047192
1986-04-30,-0.007903,0.01614
1986-05-30,0.050847,0.036194
1986-06-30,0.014244,0.008087
1986-07-31,-0.0597,-0.073128
1986-08-29,0.066183,0.023269
1986-09-30,-0.07902,-0.059071
1986-10-31,0.049305,0.023777
1986-11-28,0.015093,-0.006263
1986-12-31,-0.026387,-0.034609
1987-01-30,0.128499,0.117565
1987-02-27,0.047922,0.074612
1987-03-31,0.023665,0.036284
1987-04-30,-0.016996,-0.017707
1987-05-29,0.005123,0.000599
1987-06-30,0.043655,0.021487
1987-07-31,0.044247,0.035123
1987-08-31,0.037147,0.014544
1987-09-30,-0.020773,-0.015876
1987-10-30,-0.225361,-0.272248
1987-11-30,-0.072272,-0.05085
1987-12-31,0.070324,0.026065
1988-01-29,0.044875,0.077392
1988-02-29,0.051691,0.060265
1988-03-31,-0.016598,0.03569
1988-04-29,0.010993,0.014016
1988-05-31,0.000447,-0.017672
1988-06-30,0.051457,0.047668
1988-07-29,-0.007272,0.000297
1988-08-31,-0.028006,-0.025001
1988-09-30,0.037204,0.016951
1988-10-31,0.017645,-0.011481
1988-11-30,-0.016411,-0.036484
1988-12-30,0.021071,0.018872
1989-01-31,0.066101,0.062124
1989-02-28,-0.016442,0.002988
1989-03-31,0.021465,0.01806
1989-04-28,0.048207,0.029089
1989-05-31,0.039336,0.025054
1989-06-30,-0.004856,-0.007744
1989-07-31,0.077128,0.031018
1989-08-31,0.022126,0.018626
1989-09-29,-0.001473,0.005532
1989-10-31,-0.029285,-0.049936
1989-11-30,0.017816,-0.005805
1989-12-29,0.018294,-0.012375
1990-01-31,-0.070114,-0.046408
1990-02-28,0.0149,0.015434
1990-03-30,0.024148,0.021315
1990-04-30,-0.028283,-0.028117
1990-05-31,0.088935,0.045673
1990-06-29,-0.004193,0.005359
1990-07-31,-0.009392,-0.025731
1990-08-31,-0.091903,-0.10892
1990-09-28,-0.053844,-0.080468
1990-10-31,-0.012499,-0.057155
1990-11-30,0.065742,0.035468
1990-12-31,0.029511,-0.004526
1991-01-31,0.049083,0.084175
1991-02-28,0.075848,0.133898
